Date,Open,High,Low,Close,Volume
2020-01-01 01:00:00,6417.2,6499.0,6409.38206352,6429.7212745,357.50114542
2020-01-02 01:00:00,6427.0,6440.4,6236.5,6256.8,355.67719522
2020-01-03 01:00:00,6256.8,6667.2,6181.8,6605.31758712,514.61781764
2020-01-04 01:00:00,6606.0,6649.9,6541.2,6607.8,192.77421763
2020-01-05 01:00:00,6618.49022774,6729.6,6555.0,6598.193025,206.58188877
2020-01-06 01:00:00,6597.0,6946.1,6592.0,6929.6,473.59184512
2020-01-07 01:00:00,6938.9,7364.8,6934.8,7307.5,711.45978732
2020-01-08 01:00:00,7309.9,7564.0,7085.2,7230.5,1606.39450821
2020-01-09 01:00:00,7231.5,7231.5,6984.5,7037.5,373.46794122
2020-01-10 01:00:00,7029.8,7359.9,6917.163993,7354.3,396.2169941
2020-01-11 01:00:00,7355.0,7442.0,7188.3,7200.1,208.20908189
2020-01-12 01:00:00,7203.8,7353.5,7152.9,7353.5,114.51266185
2020-01-13 01:00:00,7355.0,7374.6,7237.8,7269.1,200.94669887
2020-01-14 01:00:00,7273.4,7930.48501465,7273.4,7894.1,1136.4611718200001
2020-01-15 01:00:00,7881.7,7959.4,7689.1996782,7897.010319,773.76765235
2020-01-16 01:00:00,7900.9,7925.7,7693.1,7830.64535442,435.48983112
2020-01-17 01:00:00,7829.7,8087.9,7787.17931502,8005.1,878.29295093
2020-01-18 01:00:00,7998.5,8083.22269857,7926.5,8017.0,334.72881713
2020-01-19 01:00:00,8017.0,8267.6,7619.0,7845.7,1101.24992645
2020-01-20 01:00:00,7842.4,7869.3,7687.86662495,7788.2,411.16904305
2020-01-21 01:00:00,7790.5,7924.3,7662.02749831,7878.4,261.64209791
2020-01-22 01:00:00,7881.5,7943.1,7739.5,7801.8,173.76321826
2020-01-23 01:00:00,7814.0,7814.0,7504.4,7601.7,412.53914165
2020-01-24 01:00:00,7601.7,7725.6,7474.3,7661.8,243.16863468
2020-01-25 01:00:00,7661.8,7661.8,7510.0,7576.78083328,133.80978029
2020-01-26 01:00:00,7571.1,7818.1,7531.1,7815.3,226.83917248
2020-01-27 01:00:00,7821.9,8170.0,7782.3,8086.1,385.42152249
2020-01-28 01:00:00,8091.0,8537.0,8090.5,8521.3,634.94060792
2020-01-29 01:00:00,8522.6,8579.9819525,8403.0,8440.7,272.19749859
2020-01-30 01:00:00,8433.6,8656.5,8274.2,8624.7,556.36805301
2020-01-31 01:00:00,8624.7,8631.2,8344.0,8444.2,351.58783162
2020-02-01 01:00:00,8447.7,8541.6,8399.0,8483.9,156.97372744
2020-02-02 01:00:00,8474.3,8563.1,8262.1,8436.5,405.41020676
2020-02-03 01:00:00,8434.1,8683.0,8358.2,8418.3,422.18994333
2020-02-04 01:00:00,8415.8,8461.5,8245.8,8326.23948,395.15475705
2020-02-05 01:00:00,8327.4,8845.3,8317.3,8738.3,596.28499565
2020-02-06 01:00:00,8738.3,8966.70372,8679.8,8874.7,674.68818585
2020-02-07 01:00:00,8874.7,8999.14281969,8839.6,8958.20723882,303.69565471
2020-02-08 01:00:00,8958.20723882,9063.1,8822.9,9029.8,421.42801732
2020-02-09 01:00:00,9023.4,9283.5,9018.8,9270.5,521.51581696
2020-02-10 01:00:00,9270.9,9304.6,8855.0,9039.42967513,757.63709972
2020-02-11 01:00:00,9034.5,9446.7,8906.29024066,9385.0,445.78645625
2020-02-12 01:00:00,9393.5,9582.6,9373.4009,9516.9,553.11773675
2020-02-13 01:00:00,9504.6,9662.3,9243.9,9428.6,857.33120102
2020-02-14 01:00:00,9428.5,9572.8,9315.5,9541.2,500.53586192
2020-02-15 01:00:00,9554.1,9576.3,9048.3,9132.34386728,517.09646722
2020-02-16 01:00:00,9141.4,9267.0,8911.4,9160.9,559.49435133
2020-02-17 01:00:00,9154.7,9195.1,8768.6,8959.26121826,688.48263072
2020-02-18 01:00:00,8972.3,9518.3,8900.2,9433.5,743.50015576
2020-02-19 01:00:00,9432.7,9552.2,8596.0,8875.4,1084.36892344
2020-02-20 01:00:00,8871.8,8985.1,8675.94886194,8908.0,863.18769923
2020-02-21 01:00:00,8907.1,9035.0,8812.8,8938.7,455.90078811
2020-02-22 01:00:00,8936.07363583,8955.7,8819.0,8911.5,121.00619946
2020-02-23 01:00:00,8907.4,9226.5,8907.0,9213.5,423.7364733
2020-02-24 01:00:00,9212.3,9245.5,8685.9,8916.8,580.11976354
2020-02-25 01:00:00,8916.6,8939.6,8501.8,8574.1,631.83924283
2020-02-26 01:00:00,8574.0,8628.1,7945.4,8097.2,1118.27027707
2020-02-27 01:00:00,8091.6,8177.4,7850.75241547,8024.54439871,937.58478412
2020-02-28 01:00:00,8024.6,8107.8,7689.6,7917.5,741.94983802
2020-02-29 01:00:00,7921.8,8005.7,7762.38079424,7763.0,209.99320874
2020-03-01 01:00:00,7762.3,7956.6,7671.6,7749.7784569,697.97896114
2020-03-02 01:00:00,7745.9,8071.8,7717.0,8004.77235195,694.93380169
2020-03-03 01:00:00,8021.8,8033.0,7785.0,7866.2,729.57877164
2020-03-04 01:00:00,7867.1,7954.6,7832.1,7891.0,371.97793129
2020-03-05 01:00:00,7897.81461445,8202.6,7897.81461445,8094.2,487.39611602
2020-03-06 01:00:00,8095.4,8161.4,8005.65277556,8132.9,411.49266758
2020-03-07 01:00:00,8128.2,8185.4,7858.8,7901.4,462.52501283
2020-03-08 01:00:00,7902.3,7902.3,7066.3,7090.1,1143.74579671
2020-03-09 01:00:00,7090.1,7214.2,6739.194,6990.389502,2112.28599954
2020-03-10 01:00:00,6992.4,7186.0,6840.0,6989.86385832,1080.29912842
2020-03-11 01:00:00,6993.5,7132.9,6764.9,7080.3,919.89966784
2020-03-12 01:00:00,7095.4,7105.6,4122.0,4362.2,9758.36959616
2020-03-13 01:00:00,4369.85651589,5375.8,3577.52944819,5034.59914792,7172.78148868
2020-03-14 01:00:00,5045.81846038,5096.2,4575.35308172,4675.6,1211.9398315
2020-03-15 01:00:00,4685.2,5351.7,4605.95114802,4826.95495908,1999.02245104
2020-03-16 01:00:00,4826.49636764,4838.4,4000.0,4525.2,2972.67138813
2020-03-17 01:00:00,4534.2,5067.4,4444.93478272,4853.81575872,1565.1091492
2020-03-18 01:00:00,4852.54446072,5037.1,4571.6,4940.1,1862.19839984
2020-03-19 01:00:00,4940.1,6016.0,4838.5,5791.9,4191.78764926
